arrival_time,charging_demand,impatience_factor,charging_rate,intended_stay,actual_stay,overstay_duration,departure_time,charging_completion_time,is_overstaying,charging_duration
0.03822159819688942,40.53442832928859,18.043858356464533,20.0,3.243223235220396,3.243223235220396,0.0,3.2814448334172854,2.064943014661319,False,2.0267214164644294
0.269076251065977,44.86640704580779,18.968815870470287,20.0,3.6898393223463604,3.6898393223463604,0.0,3.9589155734123374,2.5123966033563665,False,2.2433203522903895
0.3424279546635809,24.672273412787607,20.930786297059438,20.0,2.8767872804364276,2.8767872804364276,0.0,3.2192152351000085,1.5760416253029612,False,1.2336136706393803
0.7218210997703873,41.024303609000526,15.35059151061838,20.0,1.703437781828741,2.0512151804500265,0.34777739862128554,2.773036280220414,2.773036280220414,True,2.0512151804500265
0.7863020353357126,36.69796114680678,20.81873660213556,20.0,3.675432548592619,3.675432548592619,0.0,4.461734583928331,2.6212000926760517,False,1.834898057340339
1.0179405106719375,40.798955304000074,21.587746179679208,20.0,1.342645370475616,2.0399477652000035,0.6973023947243875,3.057888275871941,3.057888275871941,True,2.0399477652000035
1.3041984132496571,35.701432160012196,12.515249767659832,20.0,2.5121061450533415,2.5121061450533415,0.0,3.8163045583029986,3.089270021250267,False,1.7850716080006097
1.5089296468883653,46.30684487862024,19.543885979478894,20.0,3.46810207779221,3.46810207779221,0.0,4.977031724680575,3.8242718908193774,False,2.315342243931012
1.6296796675935772,25.0057904568361,11.878358214218714,20.0,1.423786603085916,1.423786603085916,0.0,3.0534662706794933,2.879969190435382,False,1.250289522841805
2.033763460728987,51.832488435246376,14.438779080797106,20.0,1.9542040321839167,2.5916244217623188,0.6374203895784021,4.625387882491306,4.625387882491306,True,2.5916244217623188
2.2899487559075435,44.265249238018455,22.140598867175914,20.0,3.799182290862148,3.799182290862148,0.0,6.089131046769692,4.503211217808467,False,2.2132624619009227
2.338158870456217,28.911373557977914,21.95427368033524,20.0,2.5988341466886595,2.5988341466886595,0.0,4.936993017144877,3.7837275483551123,False,1.4455686778988956
2.5763034603587296,47.87057665410375,23.594630363715723,20.0,2.767769838702153,2.767769838702153,0.0,5.344073299060883,4.9698322930639165,False,2.3935288327051873
2.703995352586765,35.48943687048052,16.36864090950562,20.0,2.0895897660616987,2.0895897660616987,0.0,4.793585118648464,4.478467196110791,False,1.7744718435240259
3.636788091105089,53.23009517192573,29.169850987868845,20.0,2.098091039495387,2.6615047585962865,0.5634137191008994,6.298292849701376,6.298292849701376,True,2.6615047585962865
3.7994050112644646,54.798063185413845,27.62069465368206,20.0,2.4065787472421296,2.739903159270692,0.33332441202856256,6.539308170535157,6.539308170535157,True,2.739903159270692
3.83848414160734,56.81503126388836,14.73963695291318,20.0,1.5808072573220446,2.840751563194418,1.2599443058723732,6.679235704801758,6.679235704801758,True,2.840751563194418
3.904570488953005,48.67814147036924,14.339565959216294,20.0,1.3959387983786833,2.433907073518462,1.0379682751397787,6.338477562471467,6.338477562471467,True,2.433907073518462
3.955593110296399,27.572585162913533,12.910249274586146,20.0,2.0403455544822915,2.0403455544822915,0.0,5.9959386647786905,5.3342223684420755,False,1.3786292581456767
4.210113854725453,50.76499067732856,17.769148777180284,20.0,2.7499175989469267,2.7499175989469267,0.0,6.9600314536723795,6.748363388591881,False,2.538249533866428
4.62090785512854,23.387859304248337,22.55218893595882,20.0,3.014537795022785,3.014537795022785,0.0,7.6354456501513255,5.790300820340957,False,1.1693929652124169
4.813719026397898,29.076085232102464,29.457936957252663,20.0,1.7922756838877132,1.7922756838877132,0.0,6.605994710285611,6.267523288003021,False,1.4538042616051232
4.969894171381798,38.81916528966284,25.381953496116637,20.0,1.4058948933852293,1.940958264483142,0.5350633710979127,6.91085243586494,6.91085243586494,True,1.940958264483142
4.976557850663285,49.025580948789425,24.26614837825786,20.0,1.5895372157088077,2.4512790474394714,0.8617418317306638,7.427836898102757,7.427836898102757,True,2.4512790474394714
5.207035542836559,35.097156445839026,22.819015409391888,20.0,1.546340977860218,1.7548578222919513,0.20851684443173335,6.96189336512851,6.96189336512851,True,1.7548578222919513
5.275807394485609,47.78304104332908,25.38044910556659,20.0,3.226016847743844,3.226016847743844,0.0,8.501824242229453,7.6649594466520625,False,2.389152052166454
5.461583964831121,35.10337623849794,25.068552071941273,20.0,1.0308615105497294,1.755168811924897,0.7243073013751675,7.216752776756017,7.216752776756017,True,1.755168811924897
5.8339205191436,51.250745627338326,25.723533890126227,20.0,2.0271326302821513,2.5625372813669163,0.535404651084765,8.396457800510516,8.396457800510516,True,2.5625372813669163
6.139364258757663,57.77756688061507,19.937000499142954,20.0,1.3545883983588465,2.8888783440307533,1.5342899456719068,9.028242602788417,9.028242602788417,True,2.8888783440307533
6.347844069778882,41.45389005532122,21.918748057365452,20.0,2.1298890334047456,2.1298890334047456,0.0,8.477733103183628,8.420538572544942,False,2.072694502766061
6.60906065447677,26.371127570400233,17.61778387934045,20.0,3.5874090021141023,3.5874090021141023,0.0,10.196469656590873,7.927617032996782,False,1.3185563785200116
6.921842196095122,26.719581543016883,15.271123426872304,20.0,1.9116851763389069,1.9116851763389069,0.0,8.833527372434029,8.257821273245966,False,1.3359790771508442
7.115968234649134,31.783807594799896,18.91042727926883,20.0,1.0870468407922154,1.5891903797399949,0.5021435389477795,8.705158614389129,8.705158614389129,True,1.5891903797399949
7.409887453506862,23.82416115776213,11.86290430595199,20.0,2.5459567773968645,2.5459567773968645,0.0,9.955844230903725,8.601095511394968,False,1.1912080578881066
